OBJECTID,BLD_ID,DEV_ID,DEV_NAME,NGHDNUM,POLICEDIVI,BLDG_POSTC,TOTAL_RESU,MRKT_UNIT,RGI_UNIT,YEAR_BUILT,BUILDING,BUILDFORM,FLR_ABV_GR,BLD_DESC,X,Y,LONGITUDE,LATITUDE
517,5537,143,Sunrise Towers,43,54,M4A 2P7,330,0,330,1977,High Rise,High Rise Apt. Bldg.Elevator,10,10 - Storey High Rise Apt. Bldg.,320700.892,4842186.871,-79.302458,43.7214717
1033,4742,301,Balsam Ave. (9-11),63,55,M4E 3B3,6,1,5,1922,Houses,House Semi-Detached Multiplex,2,2 - Storey House -Sixplex,321821.913,4836462.618,-79.288725,43.6699221
1034,4743,301,Balsam Ave. (9-11),63,55,M4E 3B3,6,2,4,1922,Houses,House Semi-Detached Multiplex,2,2 - Storey House -Sixplex,321826.761,4836447.594,-79.288665,43.6697868
1035,5639,118,Beaches Lions Centennial,63,55,M4L 1R1,43,0,43,1967,Towns & Wkups,Walkup Apartment Building,2,2 - Storey Walk-Up Apt. Bldg.,320528.116,4836940.558,-79.304755,43.6742526
1048,4744,303,Elmer Ave. (98),63,55,M4L 3R7,36,26,10,1955,Towns & Wkups,Walkup Apartment Building,3,3 - Storey Low Rise Apt. Bldg.,320496.219,4836728.497,-79.305157,43.6723445
1049,5575,371,Gerrard St. E. (2390),62,55,M4E 2E1,16,3,13,1991,Towns & Wkups,Walkup Apartment Building,4,4 - Storey Low Rise Apt. Bldg.,321691.453,4838285.303,-79.290286,43.6863315
1050,5632,112,Glen Stewart Acres,62,55,M4E 1S2,147,3,144,1962,Mid Rise,Mid Rise Apt. Bldg.Elevator,7,7 - Storey Mid  Rise Apt. Bldg.,321545.77,4837639.768,-79.292113,43.680524
1063,5726,358,Kingston Rd. (320),62,55,M4L 1T7,36,21,15,1983,Towns & Wkups,Walkup Apartment Building,3,3 - Storey Low Rise Apt. Bldg.,320321.163,4837000.094,-79.30732,43.6747928
1066,5576,372,Kingston Rd. (520),62,55,M4L 3W8,108,27,81,1992,Mid Rise,Mid Rise Apt. Bldg.Elevator,5,5 - Storey Mid Rise Apt. Bldg.,320713.024,4837385.748,-79.302449,43.6782558
1068,5638,117,Kinsmen Manor,62,55,M4E 2E4,38,0,38,1967,Mid Rise,Mid Rise Apt. Bldg.Elevator,5,5 - Storey Mid Rise Apt. Bldg.,321276.181,4838109.87,-79.295442,43.6847616
1225,4853,362,Stephenson Ave. (111),62,55,M4C 1G2,10,2,8,1980,Towns & Wkups,Stacked Townhouse,3,3 - Storey Stacked Townhouse,320659,4838297.281,-79.303092,43.6864616
