OBJECTID,BLD_ID,DEV_ID,DEV_NAME,NGHDNUM,POLICEDIVI,BLDG_POSTC,TOTAL_RESU,MRKT_UNIT,RGI_UNIT,YEAR_BUILT,BUILDING,BUILDFORM,FLR_ABV_GR,BLD_DESC,X,Y,LONGITUDE,LATITUDE
102,3906,30,Tandridge Crescent 1,5,23,,9,0,9,1965,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse Multifam,301031.892,4843104.35,-79.54658,43.72989
107,3911,30,Tandridge Crescent 1,5,23,,7,0,7,1965,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse Multifam,301031.892,4843104.35,-79.54658,43.72989
111,3915,30,Tandridge Crescent 1,5,23,,6,0,6,1965,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse Sixplex,301124.752,4842974.797,-79.545427,43.7287243
709,5943,479,Wales Casimir,78,14,M5T 1J3,6,5,1,1982,Towns & Wkups,Stacked Townhouse,3,3 - Storey Stacked Townhouse,312501.597,4834530.236,-79.40433,43.6526829
786,5904,477,Sullivan St. (11),78,52,M5T 1B8,14,13,1,1923,Towns & Wkups,Townhouse,2,2 - Storey Townhouse (confirm),313328.234,4834382.88,-79.394085,43.6513474
795,5978,721,Scadding Ave. (15),77,51,M5A 4G6,16,10,6,1982,Towns & Wkups,Townhouse,2,2 - Storey Townhouse,315573.148,4833999.48,-79.366263,43.6478669
606,5777,410,Brunswick Howland Albany,95,14,M5R 3B3,6,6,0,1983,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse (part of 6 unit bldg),312115.28,4836032.579,-79.409098,43.6662098
788,5744,401,Bishop Tutu Blvd. (25),82,14,M5V 2Z8,8,1,7,1987,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,312849.768,4832651.029,-79.400042,43.6357646
2059,3992,46,Pelham Park Gardens,91,12,M6N 1A6,8,0,8,1968,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse,308152.551,4836208.168,-79.458234,43.667818
2062,3994,46,Pelham Park Gardens,91,12,M6N 1A7,11,0,11,1968,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse,308187.43,4836297.09,-79.457801,43.6686183
2093,5037,470,Symington Place,91,12,M6N 4Y5,14,5,9,1978,Towns & Wkups,Townhouse,3,3 - Storey Townhouse (confirm),308425.241,4836645.383,-79.45485,43.6717524
3,4042,32,Atkinson Co-operative,78,14,M5T 1H4,24,0,24,1968,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,312912.598,4834510.008,-79.399235,43.6524966
9,4041,32,Atkinson Co-operative,78,14,M5T 2J5,14,0,14,1968,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,312912.142,4834437.94,-79.399242,43.6518478
2215,82319,859,Dan Leckie Way (150),77,14,M5V 0C9,427,289,138,2012,High Rise,High Rise Apt. Bldg.Elevator,41,41 - Storey High Rise Apt. Bldg.,312982.863,4833086.51,-79.398386,43.6396831
603,5762,410,Brunswick Howland Albany,95,14,M5R 3C2,6,5,1,1983,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse (part of 6 unit bldg),312045.251,4836010.504,-79.409967,43.6660118
604,5768,410,Brunswick Howland Albany,95,14,M5R 2Y9,6,3,3,1983,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse (part of 6 unit bldg),312206.624,4836055.606,-79.407965,43.6664162
1247,5543,149,McMurrich Place,95,53,M5R 3M3,128,0,128,1980,High Rise,High Rise Apt. Bldg.Elevator,16,16 - Storey High Rise Apt. Bldg.,313757.068,4836802.752,-79.388729,43.673124
2045,4063,65,Davenport Rd. (250),95,53,M5R 1J8,460,10,450,1968,High Rise,High Rise Apt. Bldg.Elevator,25,25 - Storey High Rise Apt. Bldg.,312988.295,4836993.517,-79.398259,43.6748505
2049,5857,445,Huron Madison,95,53,M5R 2R3,6,5,1,1910,Houses,Low Rise Apt.Bldg  & House,3,3 - Storey Apt. Bldg. & 3-Storey Houses,312659.125,4836280.641,-79.402351,43.6684371
2050,5858,445,Huron Madison,95,53,M5R 2R3,6,5,1,1885,Houses,Low Rise Apt.Bldg  & House,3,3 - Storey Apt. Bldg. & 3-Storey Houses,312655.228,4836288.869,-79.402399,43.6685113
2053,5861,445,Huron Madison,95,53,M5R 2S2,7,5,2,1890,Houses,House Semi-Detached Multiplex,3,3 - Storey Semi-detached House - Multiplex (hist),312610.974,4836261.294,-79.402948,43.6682635
2054,5862,445,Huron Madison,95,53,M5R 2S2,12,7,5,1889,Houses,House Semi-Detached Multiplex,3,3 - Storey Semi-detached House - Multiplex (hist),312636.214,4836270.93,-79.402635,43.66835
610,5902,476,Davenport Rd.  (1087),94,13,M6G 2C3,9,6,3,1986,Towns & Wkups,Stacked Townhouse Multifam.,3,3 - Storey Stacked Townhouse,310542.859,4836964.929,-79.428586,43.6746157
613,5794,430,Frankel Lambert 1 Townhouses,94,13,M6G 2A3,6,3,3,1979,Towns & Wkups,Townhouse,2,2 - Storey Townhouse,310680.201,4836862.7,-79.426884,43.6736944
703,4709,835,SHOP Houses CHU 08,93,13,M6H 3A6,6,0,6,1989,Houses,House Semi-Detached Multiplex,2,2 - Storey House -Sixplex,310062.145,4836631.444,-79.434551,43.6716174
704,5569,196,The Rankin Apartments,93,11,M6P 4E4,176,0,176,1992,High Rise,High Rise Apt. Bldg.Elevator,9,9 - Storey High Rise Apt. Bldg.,309108.405,4835149.792,-79.44639,43.6582865
705,5570,196,The Rankin Apartments,93,11,M6P 4E2,121,61,60,1992,Mid Rise,Mid Rise Apt. Bldg.Elevator,7,7 - Storey Mid  Rise Apt. Bldg.,309135.503,4835156.725,-79.446054,43.6583487
711,5759,404,Bathurst Adelaide,82,14,M6J 3R8,150,107,43,1983,High Rise,High Rise Apt. Bldg.Elevator,11,11 - Storey High Rise Apt. Bldg.,312554.891,4833630.519,-79.403683,43.6445845
787,5743,401,Bishop Tutu Blvd. (25),82,14,M5V 2Z9,119,41,78,1987,High Rise,High Rise Apt. Bldg.Elevator,10,10 - Storey High Rise Apt. Bldg.,312864.436,4832647.614,-79.39986,43.6357337
789,5752,401,Bishop Tutu Blvd. (25),82,14,M5V 2Z8,35,10,25,1987,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,312783.26,4832639.576,-79.400866,43.6356622
793,5950,482,Queens Quay West (679),82,14,M5V 3A9,106,35,71,1988,Mid Rise,Mid Rise Apt. Bldg. & Towns.,6,6 -  Storey  Mid Rise Apt. Bldg and Townhouses,312854.726,4832511.104,-79.399983,43.634505
2058,3997,46,Pelham Park Gardens,91,12,M6N 2Y9,19,0,19,1968,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse,308151.2,4836225.695,-79.458251,43.6679758
16,4031,32,Atkinson Co-operative,78,14,M5T 2H6,6,0,6,1968,Towns & Wkups,Townhouse Sixplex,3,3 - Storey Townhouse,312944.49,4834223.103,-79.398844,43.6499138
21,4034,32,Atkinson Co-operative,78,14,M5T 2H7,8,0,8,1968,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,312877.39,4834211.64,-79.399676,43.6498114
660,3001,59,Queensway Windermere,87,11,M6S 4V4,14,0,14,1973,Towns & Wkups,Stacked Townhouse Multifam.,4,4 - Storey Stacked Townhouse,307249.673,4832871.637,-79.469445,43.6377882
665,3006,59,Queensway Windermere,87,11,M6S 4V4,18,0,18,1973,Towns & Wkups,Stacked Townhouse Multifam.,4,4 - Storey Stacked Townhouse,307249.673,4832871.637,-79.469445,43.6377882
2004,90083,173,Cooper Mills Townhomes,114,11,M6S 4W6,14,12,2,1981,Towns & Wkups,Stacked Townhouse Multifam.,2,2 - Storey Stacked Townhouse,304559.046,4835885.092,-79.502792,43.6649168
2006,90122,173,Cooper Mills Townhomes,114,11,M6S 4W6,15,11,4,1981,Towns & Wkups,Stacked Townhouse Multifam.,2,2 - Storey Stacked Townhouse,304559.046,4835885.092,-79.502792,43.6649168
2007,90123,173,Cooper Mills Townhomes,114,11,M6S 4W6,15,9,6,1981,Towns & Wkups,Stacked Townhouse Multifam.,2,2 - Storey Stacked Townhouse,304559.046,4835885.092,-79.502792,43.6649168
2011,90127,173,Cooper Mills Townhomes,114,11,M6S 4W6,8,3,5,1981,Towns & Wkups,Stacked Townhouse Multifam.,2,2 - Storey Stacked Townhouse,304559.046,4835885.092,-79.502792,43.6649168
2012,4019,67,Dundas Gooch,114,11,M6S 2T6,132,0,132,1972,High Rise,High Rise Apt. Bldg.Elevator,10,10 - Storey High Rise Apt. Bldg.,304843.771,4835924.809,-79.499262,43.6652744
2013,4020,67,Dundas Gooch,114,11,M6S 2T5,153,0,153,1972,High Rise,High Rise Apt. Bldg.Elevator,10,10 - Storey High Rise Apt. Bldg.,304881.171,4835935.439,-79.498799,43.6653702
659,3000,59,Queensway Windermere,87,11,M6S 4V4,16,0,16,1973,Towns & Wkups,Stacked Townhouse Multifam.,4,4 - Storey Stacked Townhouse,307249.673,4832871.637,-79.469445,43.6377882
661,3002,59,Queensway Windermere,87,11,M6S 4V4,16,0,16,1973,Towns & Wkups,Stacked Townhouse Multifam.,4,4 - Storey Stacked Townhouse,307249.673,4832871.637,-79.469445,43.6377882
662,3003,59,Queensway Windermere,87,11,M6S 4V4,14,0,14,1973,Towns & Wkups,Stacked Townhouse Multifam.,4,4 - Storey Stacked Townhouse,307249.673,4832871.637,-79.469445,43.6377882
664,3005,59,Queensway Windermere,87,11,M6S 4V4,20,0,20,1973,Towns & Wkups,Stacked Townhouse Multifam.,4,4 - Storey Stacked Townhouse,307249.673,4832871.637,-79.469445,43.6377882
667,3008,59,Queensway Windermere,87,11,M6S 4V4,20,0,20,1973,Towns & Wkups,Stacked Townhouse Multifam.,4,4 - Storey Stacked Townhouse,307249.673,4832871.637,-79.469445,43.6377882
620,4053,83,High Park Quebec,88,11,M6P 2S2,439,0,439,1969,High Rise,High Rise Apt. Bldg.Elevator,24,24 - Storey High Rise Apt. Bldg.,307415.157,4834958.018,-79.467384,43.6565678
811,5963,714,The Esplanade (176),77,51,M5A 4H3,61,41,20,1982,Low Rise,Low Rise Apt. Bldg.Elevator,4,4 - Storey Low Rise Apt. Bldg.,315394.78,4834233.377,-79.368469,43.6499749
812,5964,714,The Esplanade (176),77,51,M5A 4H2,219,161,58,1982,High Rise,High Rise Apt. Bldg.Elevator,8,8 - Storey High Rise Apt. Bldg.,315435.409,4834128.066,-79.367968,43.6490263
813,6008,727,The Esplanade (55),77,51,M5E 1V2,166,126,40,1983,High Rise,High Rise Apt. Bldg.Elevator,12,8 - St. Apt. Bldg. (blt over a 4-St.garage),314890.596,4833814.598,-79.374727,43.6462124
305,4272,200,Lawrence Heights,31,32,M6A 2N9,8,0,8,1957,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,308844.058,4842157.923,-79.449616,43.7213702
228,4202,200,Lawrence Heights,32,32,M6A 2M5,6,0,6,1957,Towns & Wkups,Townhouse Sixplex,2,2 - Storey Townhouse,309467.725,4842205.851,-79.441875,43.721798
233,4215,200,Lawrence Heights,32,32,M6A 2M5,6,0,6,1957,Towns & Wkups,Townhouse Sixplex,2,2 - Storey Townhouse,309427.063,4842193.752,-79.44238,43.7216893
242,4206,200,Lawrence Heights,32,32,M6A 2M6,6,0,6,1957,Towns & Wkups,Townhouse Multiplex,2,2-Storey Townhouse Sixplex,309233.987,4842220.818,-79.444776,43.7219341
2197,80062,334,Rivertowne,70,55,M4M 2S6,30,14,16,2011,Towns & Wkups,Stacked Townhouse Multifam.,3,3 - Storey Stacked Townhouse,316710.204,4835344.713,-79.352135,43.6599498
835,5675,302,Chatham Ave. (195-203),69,55,M4J 1K8,12,8,4,1982,Towns & Wkups,Stacked Townhouse,3,3 - Storey Stacked Townhouse,318198.457,4837569.107,-79.333631,43.6799559
1061,6009,204,Hanson House,64,55,M4C 5S5,48,0,48,1993,Mid Rise,Mid Rise Apt. Bldg.Elevator,6,6 - Storey Mid Rise Apt. Bldg.,319160.021,4837546.269,-79.321705,43.6797322
2169,3159,85,Regent Park (North),72,51,M5A 3P7,8,0,8,1948,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse,316200.371,4835502.085,-79.358456,43.661383
2180,3160,85,Regent Park (North),72,51,M5A 3K3,8,0,8,1948,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse,316043.703,4835460.407,-79.3604,43.6610102
2186,3056,201,Regent Park (South),72,51,M5A 1X7,8,0,8,1957,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,316168.75,4835229.589,-79.358854,43.6589306
2205,80310,922,Sackville St. (246),72,51,M5A 3M2,14,0,14,2011,Towns & Wkups,Stacked Townhouse,3,3 - Storey Stacked Townhouse,315683.114,4835254.516,-79.364871,43.6591537
995,5367,702,Dan Harrison Complex,73,51,M5A 2R9,18,0,18,1900,Houses,House Semi-Detached Multiplex,3,3 - Storey Semi-Detached Multiplex,315191.08,4835235.83,-79.370975,43.6590012
607,4922,413,Campbell Antler,93,11,M6P 4B9,88,61,27,1979,Towns & Wkups,Stacked Townhouse Multifam.,2,2 - Storey Stacked Townhouse,308940.887,4835847.869,-79.448462,43.6645713
2016,3986,27,Humber Boulevard,111,12,M6N 2H6,7,0,7,1968,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,306225.967,4837436.218,-79.48212,43.6788781
164,3735,26,Thistletown 2,2,23,M9V 3S5,6,0,6,1968,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Sixplex,297386.743,4844114.945,-79.591841,43.738959
174,3745,26,Thistletown 2,2,23,M9V 3S5,7,0,7,1968,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,297391.834,4844083.227,-79.591778,43.7386736
39,3818,58,Finch Ardwick,22,31,M9M 1V7,6,0,6,1967,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Sixplex,300263.403,4845159.345,-79.556138,43.7483836
56,3864,45,Kipling Mount Olive,2,23,M9V 2C6,11,0,11,1967,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,297809.956,4844824.168,-79.586593,43.7453386
585,6078,194,Griggs Manor 2,17,22,M8V 3Y4,100,2,98,1992,Mid Rise,Mid Rise Apt. Bldg.Elevator,6,6 - Storey Mid Rise Apt. Bldg.,305111.3,4830450.134,-79.495948,43.6159946
565,4376,206,Scarlettwood,8,23,M9P 1T1,14,0,14,1963,Towns & Wkups,Walkup Apartment Building,3,3 - Storey Walkup Apartment Building,303482.015,4839086.141,-79.516153,43.6937201
113,3917,54,Tandridge Crescent 2,5,23,M9W 2N9,221,0,221,1967,High Rise,High Rise Apt. Bldg.Elevator,10,10 - Storey High Rise Apt. Bldg.,301020.19,4842993.242,-79.546725,43.7288898
1464,3642,84,Jane Falstaff,28,31,M6L 2C8,224,0,224,1970,High Rise,High Rise Apt. Bldg.Elevator,19,19 - Storey High Rise Apt. Bldg. & Daycare Centre-10 Falstaff Ave.,304402.361,4841583.044,-79.504742,43.716206
1741,90097,178,Empringham Mews,132,42,M1B 4A2,6,0,6,1983,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,327894.569,4852288.829,-79.212743,43.8122131
1680,3972,218,Victoria Park Chester Le,117,42,M1W 2N4,6,0,6,1973,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Sixplex,318241.522,4850848.659,-79.332766,43.7994865
1700,90062,218,Victoria Park Chester Le,117,42,M1W 2N5,8,0,8,1973,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,318220.845,4850689.277,-79.333027,43.7980523
2122,3520,100,Greenbrae Circuit 2,137,43,M1H 1R2,128,0,128,1970,High Rise,High Rise Apt. Bldg.Elevator,13,13 - Storey High Rise Apt. Bldg.,326550.384,4846462.077,-79.229686,43.7598063
441,3521,213,Morningside Ling,136,43,M1E 3E5,99,0,99,1972,High Rise,High Rise Apt. Bldg.Elevator,10,10 - Storey High Rise Apt. Bldg.,330144.859,4847285.775,-79.185007,43.767107
545,5634,119,Woodland Acres South,121,41,M1L 1P1,168,2,166,1964,High Rise,High Rise Apt. Bldg.Elevator,15,15 - Storey High Rise Apt. Bldg.,322554.003,4840204.75,-79.279524,43.7035889
1573,5435,182,Gus Harris Place,124,41,M1K 5H6,150,2,148,1989,High Rise,High Rise Apt. Bldg.Elevator,17,17 - Storey High Rise Apt. Bldg.,324176.346,4843503.962,-79.259276,43.7332452
1753,3485,76,Finch Birchmount,117,42,M1T 2Z7,6,0,6,1969,Towns & Wkups,Townhouse Back to Back Multifam.,2,2 - Storey Townhouse Back to Back Sixplex,320599.66,4850651.981,-79.303467,43.7976702
1758,3490,76,Finch Birchmount,117,42,M1T 2Z7,7,0,7,1969,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,320599.66,4850651.981,-79.303467,43.7976702
1762,3494,76,Finch Birchmount,117,42,M1T 2Z7,10,0,10,1969,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,320599.66,4850651.981,-79.303467,43.7976702
1676,3968,218,Victoria Park Chester Le,117,42,M1W 2M9,6,0,6,1973,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Sixplex,318379.839,4850593.352,-79.331054,43.797186
2117,90107,49,Greenbrae Circuit 1,137,43,M1H 1P6,6,0,6,1965,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,326267.844,4846376.095,-79.233198,43.7590406
438,4144,75,Morningside Coronation,136,43,M1E 2L5,28,0,28,1969,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,330217.887,4846940.838,-79.184117,43.7639998
1727,5664,178,Empringham Mews,132,42,M1B 3Z7,8,0,8,1983,Towns & Wkups,Townhouse,3,3 - Storey Townhouse,327983.8,4852286.712,-79.211634,43.8121913
2113,3475,82,Gilder Drive,138,41,M1K 4P7,66,0,66,1970,Mid Rise,Mid Rise Apt. Bldg.Elevator,6,6 - Storey Mid Rise Apt. Bldg.,324545.484,4843883.623,-79.25468,43.7366529
1481,3141,63,Agnes MacPhail,61,54,M4C 2L7,10,0,10,1969,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse,320728.383,4839317.999,-79.302201,43.6956479
522,4094,208,Warden Woods,121,41,M1L 1N6,6,0,6,1962,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Sixplex,322669.477,4840069.839,-79.278096,43.7023718
523,4096,208,Warden Woods,121,41,M1L 1N6,7,0,7,1962,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse,322599.637,4840087.856,-79.278961,43.7025356
527,4103,208,Warden Woods,121,41,M1L 1N7,8,0,8,1962,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse,322520.275,4840017.94,-79.279948,43.7019082
535,4093,208,Warden Woods,121,41,M1L 3V6,6,0,6,1962,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Sixplex,322605.284,4839832.554,-79.2789,43.7002375
539,4107,208,Warden Woods,121,41,M1L 3V6,11,0,11,1962,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse,322532.097,4839828.768,-79.279808,43.7002051
1648,4326,39,Roywood Drive,45,33,M3A 2E9,24,0,24,1962,Towns & Wkups,Townhouse Centre Hall Mulrifam.,2,2 - Storey Townhouse Centre Hall,318050.302,4846676.536,-79.335245,43.7619366
1661,3501,79,Sheppard Birchmount 1,118,42,M1T 2G7,6,0,6,1969,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Sixplex,320667.272,4848971.045,-79.302676,43.7825385
1665,3505,79,Sheppard Birchmount 1,118,42,M1T 2G7,7,0,7,1969,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,320667.272,4848971.045,-79.302676,43.7825385
1669,3509,79,Sheppard Birchmount 1,118,42,M1T 2G7,9,0,9,1969,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,320667.272,4848971.045,-79.302676,43.7825385
386,3591,36,Leslie Finch,49,33,M2H 3B6,53,0,53,1973,Towns & Wkups,Stacked Townhouse Multifam.,3,3 - Storey Stacked Townhouse,315341.584,4849917.437,-79.368823,43.791152
1633,4317,20,Leslie Nymark,52,33,M2J 4K4,13,0,13,1973,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse Multifam,315524,4848247.552,-79.366589,43.7761182
1433,3768,44,Yorkwoods Village,25,31,M3N 2M2,15,0,15,1963,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Fiveplex,303834.115,4845274.758,-79.511802,43.749436
1446,3773,44,Yorkwoods Village,25,31,M3N 1J4,19,0,19,1963,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Fiveplex,303853.296,4845203.564,-79.511563,43.7487953
1341,3564,25,Edgeley Village Driftwood,24,31,M3N 2P7,9,0,9,1967,Towns & Wkups,Townhouse Multiplex,3,3 - Storey  Townhouse Apts. (first flr: stores),303502.23,4847273.177,-79.515927,43.7674239
244,4210,200,Lawrence Heights,32,32,M6A 2M6,6,0,6,1957,Towns & Wkups,Townhouse Multiplex,2,2-Storey Townhouse Sixplex,309312.015,4842250.745,-79.443807,43.722203
270,4212,200,Lawrence Heights,32,32,M6A 2M2,6,0,6,1957,Towns & Wkups,Townhouse Multiplex,2,2-Storey Townhouse Sixplex,309391.559,4842368.335,-79.442819,43.723261
276,4216,200,Lawrence Heights,32,32,M6A 2M4,6,0,6,1957,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse,309472.89,4842169.995,-79.441811,43.7214752
279,4228,200,Lawrence Heights,32,32,M6A 2M4,8,0,8,1957,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse,309449.975,4842060.815,-79.442097,43.7204926
356,4205,200,Lawrence Heights,32,32,M6A 2L8,6,0,6,1957,Towns & Wkups,Townhouse Multiplex,2,2-Storey Townhouse Sixplex,309358.881,4842341.308,-79.443225,43.7230179
2041,6079,195,Silverthorn Place,110,12,M6M 5G2,207,1,206,1990,High Rise,High Rise Apt. Bldg.Elevator,9,9 - Storey High Rise Apt. Bldg.,306987.646,4837812.192,-79.472673,43.6822607
2171,3179,85,Regent Park (North),72,51,M5A 3S8,53,0,53,1948,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,316143.84,4835667.148,-79.359154,43.6628696
2177,3171,85,Regent Park (North),72,51,M5A 3K3,47,0,47,1948,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,316017.373,4835616.37,-79.360723,43.6624145
2202,76366,922,Sackville St. (246),72,51,M5A 3S4,61,15,46,2009,High Rise,High Rise Apt. Bldg.Elevator,8,8 - Storey High Rise Apt. Bldg.,315804.099,4835383.016,-79.363372,43.6603172
1007,69252,191,George St. (291),73,51,M5A 2N2,132,0,132,1986,Mid Rise,Mid Rise Apt. Bldg.Elevator,5,5 - Storey Mid Rise Apt. Bldg.,314988.482,4835167.439,-79.373488,43.6583885
1017,4738,383,Sackville St. (123),72,51,M5A 3E8,20,8,12,1985,Houses,House Semi-Detached Multiplex,3,3 - Storey Detached Multiplex,315953.471,4835024.718,-79.361527,43.6570898
2044,5642,174,Blake Towers,106,13,M6C 4A2,51,29,22,1983,Mid Rise,Mid Rise Apt. Bldg.Elevator,7,7 - Storey Mid  Rise Apt. Bldg.,311052.811,4838177.827,-79.422248,43.685529
1262,3903,66,Bleecker Street 1,74,51,M4X 1M2,327,0,327,1969,High Rise,High Rise Apt. Bldg.Elevator,24,24 - Storey High Rise Apt. Bldg.,314915.151,4836389.54,-79.374375,43.6693899
29,69496,804,Murray St. (2),78,52,M5T 1T7,91,0,91,1961,High Rise,,8,8-Storey Apartment Building,313581.33,4834933.378,-79.390938,43.6562993
775,5495,488,John St. (190),78,52,M5T 3E5,26,10,16,1992,Low Rise,Low Rise Apt. Bldg.Elevator,4,4 - Storey Low Rise Apt. Bldg.,313506.048,4834341.234,-79.391881,43.6509704
777,5497,495,Larch St. (15),78,52,M5T 3J5,11,3,8,1993,Towns & Wkups,Walkup Apartment Building,3,3-Storey Walk-Up Apt. Bldg.,313100.214,4834501.899,-79.396909,43.6524215
797,5988,721,Scadding Ave. (15),77,51,M5A 4E9,251,165,86,1982,High Rise,High Rise Apt. Bldg.Elevator,9,9 - Storey High Rise Apt. Bldg.,315530.851,4834080.659,-79.366785,43.6485982
612,5787,430,Frankel Lambert 1 Townhouses,94,13,M6G 3X1,7,5,2,1980,Towns & Wkups,Townhouse,2,2 - Storey Townhouse,310709.797,4836839.136,-79.426517,43.673482
2101,5075,470,Symington Place,91,12,M6N 4Y4,7,5,2,1978,Towns & Wkups,Townhouse,3,3 - Storey Townhouse (confirm),308440.851,4836595.85,-79.454657,43.6713065
12,4043,32,Atkinson Co-operative,78,14,M5T 2J4,18,0,18,1968,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,312956.642,4834331.215,-79.398689,43.6508782
26,4048,32,Atkinson Co-operative,78,14,M5T 2H9,13,0,13,1968,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,312891.906,4834235.342,-79.399496,43.6500245
663,3004,59,Queensway Windermere,87,11,M6S 4V4,16,0,16,1973,Towns & Wkups,Stacked Townhouse Multifam.,4,4 - Storey Stacked Townhouse,307249.673,4832871.637,-79.469445,43.6377882
735,5568,189,Springhurst Manor,85,11,M6K 3K5,59,0,59,1992,Mid Rise,Mid Rise Apt. Bldg.Elevator,6,6 - Storey Mid Rise Apt. Bldg.,309814.512,4832749.203,-79.437658,43.6366736
208,5621,106,Westacres Extension,4,23,M9W 4C6,16,0,16,1960,Towns & Wkups,Walkup Apartment Building,2,2 - Storey Walk-Up Apt. Bldg.,299209.041,4842584.711,-79.569202,43.725201
591,4070,62,West Mall,13,22,M9C 3S5,12,0,12,1962,Towns & Wkups,Townhouse Centre Hall  Multifam.,2,2 - Storey Townhouse Centre Hall Multifam,299015.105,4834561.098,-79.571523,43.6529775
194,3737,26,Thistletown 2,2,23,M9V 3R3,6,0,6,1968,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Sixplex,297593.936,4843975.725,-79.589267,43.737708
98,5674,180,Rowntree Manor,3,23,M9V 5C2,237,172,65,1984,High Rise,High Rise Apt. Bldg.Elevator,14,14 - Storey High Rise Apt. Bldg.,299388.901,4844625.794,-79.566991,43.7435749
1508,3926,50,Flemingdon Park,44,54,M3C 1E8,7,0,7,1962,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,318264.771,4841842.835,-79.332702,43.7184228
1527,3945,50,Flemingdon Park,44,54,M3C 1C2,10,0,10,1962,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,318551.875,4841675.192,-79.329143,43.7169085
479,5513,120,Centennial Apartments,43,54,M4A 1A1,16,0,16,1967,Towns & Wkups,Walkup Apartment Building,2,2 - Storey Walk-Up Apt. Bldg.,320554.944,4841548.061,-79.304288,43.7157247
1621,3615,48,Allenbury Gardens,47,33,M2J 2Z2,10,0,10,1965,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,317315.053,4848746.235,-79.344328,43.780579
1645,4323,39,Roywood Drive,45,33,M3A 2E8,12,0,12,1962,Towns & Wkups,Townhouse Centre Hall  Multifam.,2,2 - Storey Townhouse Centre Hall Multifam,317965.423,4846837.988,-79.336295,43.7633914
1537,5441,188,Sanderling Place,42,33,M3C 3R2,90,2,88,1990,Mid Rise,Mid Rise Apt. Bldg.Elevator,5,5 - Storey Mid Rise Apt. Bldg.,316954.747,4843561.308,-79.348921,43.7339142
